,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,-1.93,0.1,-2.44806,-24.69854,1
1,-1.93,0.1,-2.97527,-25.12662,11
2,-1.93,0.1,-3.04379,-25.13149,21
3,-1.93,0.1,-3.07196,-25.13229,31
4,-1.93,0.1,-3.08742,-25.13253,41
5,-1.93,0.1,-3.09723,-25.13262,51
6,-1.93,0.1,-3.10401,-25.13267,61
7,-1.93,0.1,-3.10898,-25.13269,71
8,-1.93,0.1,-3.11279,-25.13271,81
9,-1.93,0.1,-3.11579,-25.13272,91
10,-1.93,0.1,-3.11823,-25.13272,101
11,-1.93,0.1,-3.12024,-25.13273,111
12,-1.93,0.1,-3.12193,-25.13273,121
13,-1.93,0.1,-3.12338,-25.13273,131
14,-1.93,0.1,-3.12462,-25.13273,141
15,-1.93,0.1,-3.12571,-25.13274,151
16,-1.93,0.1,-3.12666,-25.13274,161
17,-1.93,0.1,-3.12751,-25.13274,171
18,-1.93,0.1,-3.12826,-25.13274,181
19,-1.93,0.1,-3.12894,-25.13274,191
