,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,0.12,0.1,-3.13659,-25.13274,494
1,-5.94,0.1,-9.41978,-75.39822,494
2,7.89,0.1,3.14659,25.13274,496
3,2.02,0.1,-3.1366,-25.13274,497
4,3.82,0.1,3.14659,25.13274,492
5,-9.5,0.1,-12.1801,-94.42691,37
6,-10.77,0.1,-12.51356,-99.68619,2
7,-8.38,0.1,-9.41979,-75.39822,493
8,-5.37,0.1,-9.41978,-75.39822,495
9,-2.11,0.1,-3.1366,-25.13274,493
10,5.73,0.1,3.14659,25.13274,494
11,-1.66,0.1,-3.1366,-25.13274,493
12,4.83,0.1,3.14659,25.13274,493
13,7.76,0.1,3.14658,25.13274,496
14,-4.17,0.1,-9.41978,-75.39822,497
15,-4.59,0.1,-9.41978,-75.39822,496
16,2.51,0.1,-3.1366,-25.13274,499
17,-5.86,0.1,-9.41978,-75.39822,494
18,12.22,0.1,9.42977,75.39822,494
19,8.63,0.1,3.14659,25.13274,498
20,6.85,0.1,3.14658,25.13274,495
21,-2.64,0.1,-3.1366,-25.13274,491
22,12.28,0.1,9.42977,75.39822,494
23,-0.92,0.1,-3.1366,-25.13274,494
24,12.07,0.1,9.42977,75.39822,494
25,-0.25,0.1,-3.1366,-25.13274,494
26,0.66,0.1,-3.1366,-25.13274,495
27,-1.67,0.1,-3.1366,-25.13274,493
28,10.04,0.1,9.42977,75.39822,492
29,-11.5,0.1,-11.49948,-84.99021,0
30,-7.31,0.1,-9.41979,-75.39822,494
31,-10.0,0.1,-12.03142,-92.17297,5
32,3.36,0.1,3.14659,25.13274,485
33,5.23,0.1,3.14658,25.13274,494
34,5.12,0.1,3.14659,25.13274,493
35,2.51,0.1,-3.1366,-25.13274,499
36,12.46,0.1,9.42977,75.39822,494
37,6.61,0.1,3.14659,25.13274,494
38,-1.58,0.1,-3.1366,-25.13274,493
39,9.99,0.1,9.42978,75.39822,491
40,8.16,0.1,3.14659,25.13274,496
41,9.37,0.1,3.14658,25.13274,543
42,-6.06,0.1,-9.41978,-75.39822,494
43,6.75,0.1,3.14658,25.13274,495
44,9.05,0.1,3.14659,25.13274,502
45,3.16,0.1,3.14659,25.13274,328
46,3.35,0.1,3.14659,25.13274,485
47,5.39,0.1,3.14658,25.13274,494
48,-12.44,0.1,-12.44159,-98.53706,0
49,-2.0,0.1,-3.1366,-25.13274,493
50,-3.49,0.1,-9.41978,-75.39822,503
51,-7.69,0.1,-9.41978,-75.39822,493
52,9.02,0.1,3.14659,25.13274,502
53,-10.02,0.1,-12.20263,-94.77486,5
54,-1.13,0.1,-3.13659,-25.13274,493
55,4.94,0.1,3.14659,25.13274,493
56,3.65,0.1,3.14659,25.13274,491
57,-6.05,0.1,-9.41978,-75.39822,494
58,12.54,0.1,9.42977,75.39822,494
59,0.79,0.1,-3.1366,-25.13274,495
60,-7.37,0.1,-9.41978,-75.39822,493
61,12.17,0.1,9.42977,75.39822,494
62,-11.13,0.1,-12.02882,-92.13429,1
63,4.75,0.1,3.14659,25.13274,493
64,9.04,0.1,3.14659,25.13274,502
65,-5.73,0.1,-9.41979,-75.39822,495
66,10.74,0.1,9.42977,75.39822,493
67,-2.35,0.1,-3.13659,-25.13274,492
68,10.62,0.1,9.42977,75.39822,493
69,0.66,0.1,-3.1366,-25.13274,495
70,-11.61,0.1,-11.61272,-86.37749,0
71,10.25,0.1,9.42978,75.39822,492
72,-0.92,0.1,-3.1366,-25.13274,494
73,0.33,0.1,-3.13659,-25.13274,494
74,-6.94,0.1,-9.41979,-75.39822,494
75,8.22,0.1,3.14658,25.13274,497
76,-4.59,0.1,-9.41978,-75.39822,496
77,-8.9,0.1,-9.41978,-75.39822,491
78,-4.79,0.1,-9.41979,-75.39822,496
79,0.09,0.1,-3.1366,-25.13274,494
80,-7.48,0.1,-9.41978,-75.39822,493
81,-6.74,0.1,-9.41978,-75.39822,494
82,5.57,0.1,3.14659,25.13274,494
83,-10.34,0.1,-12.12217,-93.53947,3
84,-8.85,0.1,-9.41978,-75.39822,491
85,-6.73,0.1,-9.41978,-75.39822,494
86,10.01,0.1,9.42978,75.39822,491
87,-1.01,0.1,-3.1366,-25.13274,494
88,8.03,0.1,3.14659,25.13274,496
89,7.22,0.1,3.14659,25.13274,495
90,6.33,0.1,3.14659,25.13274,494
91,-0.79,0.1,-3.1366,-25.13274,494
92,-3.61,0.1,-9.41978,-75.39822,501
93,-7.14,0.1,-9.41979,-75.39822,494
94,0.53,0.1,-3.1366,-25.13274,495
95,10.89,0.1,9.42977,75.39822,493
96,-6.73,0.1,-9.41978,-75.39822,494
97,1.26,0.1,-3.13659,-25.13274,495
98,11.45,0.1,9.42978,75.39822,493
99,-9.22,0.1,-9.41978,-75.39822,484
100,5.3,0.1,3.14658,25.13274,494
101,-9.09,0.1,-9.41979,-75.39822,489
102,11.1,0.1,9.42978,75.39822,493
103,12.12,0.1,9.42977,75.39822,494
104,7.66,0.1,3.14659,25.13274,495
105,-11.96,0.1,-11.96198,-91.14975,0
106,-11.6,0.1,-11.60167,-86.23833,0
107,6.21,0.1,3.14659,25.13274,494
108,-10.37,0.1,-12.26928,-95.81232,3
109,9.63,0.1,9.42977,75.39822,485
110,0.22,0.1,-3.13659,-25.13274,494
111,-11.91,0.1,-11.90773,-90.3655,0
112,8.46,0.1,3.14659,25.13274,497
113,3.64,0.1,3.14659,25.13274,491
114,0.95,0.1,-3.1366,-25.13274,495
115,4.19,0.1,3.14659,25.13274,493
116,-0.19,0.1,-3.1366,-25.13274,494
117,6.15,0.1,3.14659,25.13274,494
118,5.0,0.1,3.14659,25.13274,493
119,-11.09,0.1,-11.96618,-91.21104,1
120,4.44,0.1,3.14659,25.13274,493
121,12.31,0.1,9.42977,75.39822,494
122,-11.08,0.1,-11.94654,-90.92514,1
123,-4.67,0.1,-9.41978,-75.39822,496
124,9.09,0.1,3.14659,25.13274,503
125,-3.78,0.1,-9.41978,-75.39822,499
126,1.71,0.1,-3.1366,-25.13274,496
127,9.78,0.1,9.42977,75.39822,489
128,-10.11,0.1,-11.88588,-90.05364,4
129,7.08,0.1,3.14659,25.13274,495
130,7.5,0.1,3.14659,25.13274,495
131,-3.37,0.1,-9.41978,-75.39822,507
132,-10.0,0.1,-12.01305,-91.90028,5
133,-12.5,0.1,-12.5025,-99.50938,0
134,10.93,0.1,9.42977,75.39822,493
135,-12.3,0.1,-12.29606,-96.23223,0
136,-8.88,0.1,-9.41978,-75.39822,491
137,-1.53,0.1,-3.1366,-25.13274,493
138,-11.55,0.1,-11.55356,-85.64189,0
139,-2.38,0.1,-3.1366,-25.13274,492
140,5.32,0.1,3.14658,25.13274,494
141,-12.45,0.1,-12.45126,-98.69123,0
142,10.22,0.1,9.42978,75.39822,492
143,10.75,0.1,9.42977,75.39822,493
144,9.51,0.1,9.42977,75.39822,470
145,-7.65,0.1,-9.41978,-75.39822,493
146,7.76,0.1,3.14658,25.13274,496
147,7.3,0.1,3.14659,25.13274,495
148,2.84,0.1,-3.1366,-25.13274,504
149,0.61,0.1,-3.1366,-25.13274,495
150,-6.44,0.1,-9.41978,-75.39822,494
151,3.35,0.1,3.14658,25.13274,485
152,10.61,0.1,9.42977,75.39822,493
153,-9.26,0.1,-9.41979,-75.39822,482
154,-10.28,0.1,-11.83216,-89.29727,3
155,-7.11,0.1,-9.41979,-75.39822,494
156,-2.01,0.1,-3.1366,-25.13274,493
157,-10.47,0.1,-11.57417,-85.89551,2
158,-9.49,0.1,-11.58667,-86.05072,39
159,-2.23,0.1,-3.1366,-25.13274,493
160,1.6,0.1,-3.1366,-25.13274,496
161,12.34,0.1,9.42977,75.39822,494
162,8.79,0.1,3.14659,25.13274,499
163,-4.66,0.1,-9.41978,-75.39822,496
164,4.71,0.1,3.14659,25.13274,493
165,-1.32,0.1,-3.13659,-25.13274,493
166,-7.79,0.1,-9.41978,-75.39822,493
167,-6.21,0.1,-9.41978,-75.39822,494
168,9.06,0.1,3.14659,25.13274,502
169,6.02,0.1,3.14659,25.13274,494
170,-8.81,0.1,-9.41979,-75.39822,492
171,5.46,0.1,3.14658,25.13274,494
172,10.69,0.1,9.42977,75.39822,493
173,4.64,0.1,3.14659,25.13274,493
174,0.7,0.1,-3.1366,-25.13274,495
175,0.0,0.1,-3.1366,-25.13274,494
176,10.85,0.1,9.42977,75.39822,493
177,10.38,0.1,9.42977,75.39822,493
178,-11.7,0.1,-11.70377,-87.55387,0
179,3.42,0.1,3.14659,25.13274,487
180,-10.49,0.1,-11.62438,-86.5252,2
181,1.57,0.1,-3.1366,-25.13274,496
182,-9.46,0.1,-11.52591,-85.30618,76
183,-8.87,0.1,-9.41978,-75.39822,491
184,-4.4,0.1,-9.41978,-75.39822,496
185,-6.73,0.1,-9.41978,-75.39822,494
186,10.62,0.1,9.42977,75.39822,493
187,4.02,0.1,3.14659,25.13274,492
188,4.77,0.1,3.14659,25.13274,493
189,-8.0,0.1,-9.41978,-75.39822,493
190,8.02,0.1,3.14659,25.13274,496
191,-3.5,0.1,-9.41978,-75.39822,503
192,12.11,0.1,9.42977,75.39822,494
193,-12.52,0.1,-12.5165,-99.7332,0
194,0.81,0.1,-3.1366,-25.13274,495
195,-10.08,0.1,-11.62674,-86.5552,4
196,-2.83,0.1,-3.13659,-25.13274,488
197,3.15,0.1,3.14659,25.13274,207
198,-4.97,0.1,-9.41978,-75.39822,495
199,3.45,0.1,3.14659,25.13274,488
