,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,1.45,0.05,-3.14,-25.13,997
1,1.45,0.1,-3.14,-25.13,496
2,1.45,0.15,-3.14,-25.13,328
3,1.45,0.2,-11.21,-81.91,13
4,1.45,0.25,-11.35,-83.28,19
5,1.45,0.3,-10.99,-79.9,4
6,1.45,0.35,-12.26,-95.64,5
7,1.45,0.4,-12.1,-93.26,6
8,1.45,0.45,-7.37,-66.01,77
9,1.45,0.5,-3.14,-25.13,94
10,1.45,0.55,-6.78,-58.04,4
11,1.45,0.6,-12.36,-97.27,3
12,1.45,0.65,-7.69,-69.44,2
13,1.45,0.7,-10.85,-78.89,2
14,1.45,0.75,-5.24,-35.01,1
15,1.45,0.8,-5.69,-41.0,1
16,1.45,0.85,-6.13,-47.87,1
17,1.45,0.9,-6.58,-54.97,1
18,1.45,0.95,-7.03,-61.62,1
19,1.45,1.0,-7.47,-67.2,1
20,1.45,1.05,-7.92,-71.33,1
21,1.45,1.1,-8.36,-73.9,1
22,1.45,1.15,-10.49,-76.92,2
23,1.45,1.2,-9.42,-75.4,36
24,1.45,1.25,-12.23,-95.16,3
25,1.45,1.3,-10.15,-75.89,1
26,1.45,1.35,-10.6,-77.4,1
27,1.45,1.4,-11.04,-80.35,1
28,1.45,1.45,-11.49,-84.87,1
29,1.45,1.5,-11.94,-90.77,1
30,1.45,1.55,-12.38,-97.59,1
31,1.45,1.6,1.45,19.58,0
32,1.45,1.65,1.45,19.58,0
33,1.45,1.7,1.45,19.58,0
34,1.45,1.75,1.45,19.58,0
35,1.45,1.8,1.45,19.58,0
36,1.45,1.85,1.45,19.58,0
37,1.45,1.9,1.45,19.58,0
38,1.45,1.95,1.45,19.58,0
