,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,-11.63,0.05,-12.26,-95.73,1
1,-11.63,0.1,-11.63,-86.57,0
2,-11.63,0.15,-11.63,-86.57,0
3,-11.63,0.2,-11.63,-86.57,0
4,-11.63,0.25,-11.63,-86.57,0
5,-11.63,0.3,-11.63,-86.57,0
6,-11.63,0.35,-11.63,-86.57,0
7,-11.63,0.4,-11.63,-86.57,0
8,-11.63,0.45,-11.63,-86.57,0
9,-11.63,0.5,-11.63,-86.57,0
10,-11.63,0.55,-11.63,-86.57,0
11,-11.63,0.6,-11.63,-86.57,0
12,-11.63,0.65,-11.63,-86.57,0
13,-11.63,0.7,-11.63,-86.57,0
14,-11.63,0.75,-11.63,-86.57,0
15,-11.63,0.8,-11.63,-86.57,0
16,-11.63,0.85,-11.63,-86.57,0
17,-11.63,0.9,-11.63,-86.57,0
18,-11.63,0.95,-11.63,-86.57,0
19,-11.63,1.0,-11.63,-86.57,0
20,-11.63,1.05,-11.63,-86.57,0
21,-11.63,1.1,-11.63,-86.57,0
22,-11.63,1.15,-11.63,-86.57,0
23,-11.63,1.2,-11.63,-86.57,0
24,-11.63,1.25,-11.63,-86.57,0
25,-11.63,1.3,-11.63,-86.57,0
26,-11.63,1.35,-11.63,-86.57,0
27,-11.63,1.4,-11.63,-86.57,0
28,-11.63,1.45,-11.63,-86.57,0
29,-11.63,1.5,-11.63,-86.57,0
30,-11.63,1.55,-11.63,-86.57,0
31,-11.63,1.6,-11.63,-86.57,0
32,-11.63,1.65,-11.63,-86.57,0
33,-11.63,1.7,-11.63,-86.57,0
34,-11.63,1.75,-11.63,-86.57,0
35,-11.63,1.8,-11.63,-86.57,0
36,-11.63,1.85,-11.63,-86.57,0
37,-11.63,1.9,-11.63,-86.57,0
38,-11.63,1.95,-11.63,-86.57,0
