,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[ 1.06 -0.73],0.2,[ 0.71 -0.71],-0.55,17
1,[-1.97 -1.13],0.2,[-3.31 -1.7 ],0.0,7324
2,[-1.99  0.65],0.2,[-0.71  0.71],-0.55,30
3,[ 0.82 -1.49],0.2,[ 0.71 -0.71],-0.55,21
4,[-0.1   0.58],0.2,[-0.71  0.71],-0.55,17
5,[ 1.91 -1.41],0.2,[ 0.71 -0.71],-0.55,34
6,[0.74 0.79],0.2,[2.   3.01],0.0,3234
7,[-0.56 -0.01],0.2,[-0.71  0.71],-0.55,17
8,[0.86 0.25],0.2,[ 0.71 -0.71],-0.55,18
9,[-1.05  1.37],0.2,[-0.71  0.71],-0.55,20
10,[ 0.6  -1.69],0.2,[ 0.71 -0.71],-0.55,24
11,[-1.26  0.  ],0.2,[-0.71  0.71],-0.55,21
12,[0.01 0.56],0.2,[-0.71  0.71],-0.55,17
13,[-0.78 -1.5 ],0.2,[-1.12 -3.51],0.0,7936
14,[-0.28 -0.42],0.2,[ 0.71 -0.71],-0.55,20
15,[-1.14 -1.28],0.2,[-2.   -2.35],0.0,188
16,[ 1.55 -1.3 ],0.2,[ 0.71 -0.71],-0.55,24
17,[-1.44  0.23],0.2,[-0.71  0.71],-0.55,22
18,[-1.14 -1.49],0.2,[-2.   -2.83],0.0,1384
19,[ 0.01 -1.01],0.2,[ 0.71 -0.71],-0.55,18
20,[-0.18 -1.13],0.2,[ 0.71 -0.71],-0.55,21
21,[1.02 0.95],0.2,[2.3 2. ],0.0,160
22,[ 1.45 -0.79],0.2,[ 0.71 -0.71],-0.55,21
23,[-0.59  1.59],0.2,[-0.71  0.71],-0.55,22
24,[-0.5   0.25],0.2,[-0.71  0.71],-0.55,16
25,[-0.87  1.85],0.2,[-0.71  0.71],-0.55,27
26,[-1.18 -1.71],0.2,[-1.99 -3.16],0.0,6931
27,[ 0.25 -1.1 ],0.2,[ 0.71 -0.71],-0.55,18
28,[0.59 1.76],0.2,[-0.71  0.71],-0.55,2379
29,[-0.67  1.32],0.2,[-0.71  0.71],-0.55,19
30,[1.57 0.45],0.2,[ 0.71 -0.71],-0.55,54
31,[0.12 0.39],0.2,[-0.71  0.71],-0.55,18
32,[-1.3   0.41],0.2,[-0.71  0.71],-0.55,19
33,[-1.82  1.78],0.2,[-0.71  0.71],-0.55,44
34,[ 0.63 -1.17],0.2,[ 0.71 -0.71],-0.55,18
35,[-1.63  0.3 ],0.2,[-0.71  0.71],-0.55,24
36,[-1.48 -0.8 ],0.2,[-3.5  -1.19],0.0,7877
37,[0.32 0.46],0.2,[-0.71  0.71],-0.55,20
38,[0.19 1.56],0.2,[-0.71  0.71],-0.55,29
39,[-0.29  1.68],0.2,[-0.71  0.71],-0.55,25
40,[ 1.57 -1.95],0.2,[ 0.71 -0.71],-0.55,41
41,[0.37 0.31],0.2,[ 0.71 -0.71],-0.55,21
42,[-0.42  0.78],0.2,[-0.71  0.71],-0.55,15
43,[0.78 1.85],0.2,[0.98 3.54],0.0,8035
44,[-1.99  1.61],0.2,[-0.71  0.71],-0.55,45
45,[ 0.81 -1.56],0.2,[ 0.71 -0.71],-0.55,22
46,[-0.32 -1.33],0.2,[ 0.71 -0.71],-0.55,28
47,[-1.52 -1.9 ],0.2,[-2.   -2.54],0.0,380
48,[-0.8 -0.2],0.2,[-0.71  0.71],-0.55,18
49,[-1.33  0.61],0.2,[-0.71  0.71],-0.55,19
50,[-1.07  0.79],0.2,[-0.71  0.71],-0.55,17
51,[ 0.13 -0.26],0.2,[ 0.71 -0.71],-0.55,18
52,[-0.08 -1.97],0.2,[ 0.71 -0.71],-0.55,44
53,[-0.97 -0.83],0.2,[-3.03 -2.  ],0.0,3671
54,[0.25 2.  ],0.2,[-0.71  0.71],-0.55,68
55,[ 0.49 -0.57],0.2,[ 0.71 -0.71],-0.55,15
56,[-0.73 -0.59],0.2,[-0.71  0.71],-0.55,22
57,[1.69 1.18],0.2,[3.1 2. ],0.0,5326
58,[-1.14  0.4 ],0.2,[-0.71  0.71],-0.55,18
59,[1.04 1.93],0.2,[1.57 3.37],0.0,7487
60,[0.18 0.4 ],0.2,[-0.71  0.71],-0.55,19
61,[-1.49 -0.76],0.2,[-3.53 -1.03],0.0,8002
62,[ 0.94 -0.14],0.2,[ 0.71 -0.71],-0.55,17
63,[-0.87  1.01],0.2,[-0.71  0.71],-0.55,17
64,[-0.2  -1.51],0.2,[ 0.71 -0.71],-0.55,28
65,[-1.94 -1.01],0.2,[-3.4  -1.49],0.0,7572
66,[-1.44  0.71],0.2,[-0.71  0.71],-0.55,20
67,[-1.86 -1.82],0.2,[-2.04 -2.  ],0.0,42
68,[-0.82 -1.  ],0.2,[-1.93 -3.19],0.0,7028
69,[-0.37  1.99],0.2,[-0.71  0.71],-0.55,32
70,[0.18 1.09],0.2,[-0.71  0.71],-0.55,21
71,[-1.27  0.27],0.2,[-0.71  0.71],-0.55,20
72,[0.99 0.68],0.2,[ 0.71 -0.71],-0.55,544
73,[0.07 0.09],0.2,[-0.71  0.71],-0.55,24
