,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[1.57 1.29],0.05,[2.54 2.  ],0.0,1549
1,[1.57 1.29],0.1,[2.54 2.  ],0.0,774
2,[1.57 1.29],0.15,[2.54 2.  ],0.0,515
3,[1.57 1.29],0.2,[2.54 2.  ],0.0,386
4,[1.57 1.29],0.25,[2.54 2.  ],0.0,308
5,[1.57 1.29],0.3,[2.54 2.  ],0.0,257
6,[1.57 1.29],0.35,[2.54 2.  ],0.0,220
7,[1.57 1.29],0.4,[2.54 2.  ],0.0,192
8,[1.57 1.29],0.45,[2.54 2.  ],0.0,170
9,[1.57 1.29],0.5,[2.54 2.  ],0.0,153
10,[1.57 1.29],0.55,[2.54 2.  ],0.0,139
11,[1.57 1.29],0.6,[2.54 2.  ],0.0,127
12,[1.57 1.29],0.65,[2.54 2.  ],0.0,117
13,[1.57 1.29],0.7,[2.54 2.  ],0.0,109
14,[1.57 1.29],0.75,[2.54 2.  ],0.0,102
15,[1.57 1.29],0.8,[2.54 2.  ],0.0,95
16,[1.57 1.29],0.85,[2.54 2.  ],0.0,89
17,[1.57 1.29],0.9,[2.54 2.  ],0.0,84
18,[1.57 1.29],0.95,[2.54 2.  ],0.0,80
19,[1.57 1.29],1.0,[2.54 2.  ],0.0,76
20,[1.57 1.29],1.05,[2.54 2.  ],0.0,72
21,[1.57 1.29],1.1,[2.54 2.  ],0.0,69
22,[1.57 1.29],1.15,[2.54 2.  ],0.0,66
23,[1.57 1.29],1.2,[2.54 2.  ],0.0,63
24,[1.57 1.29],1.25,[2.54 2.  ],0.0,60
25,[1.57 1.29],1.3,[2.54 2.  ],0.0,58
26,[1.57 1.29],1.35,[2.54 2.  ],0.0,56
27,[1.57 1.29],1.4,[2.54 2.  ],0.0,53
28,[1.57 1.29],1.45,[2.55 2.  ],0.0,52
